edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
547657331	25.7361381711991	0.1560923242587	0.0789346590332664	0.0303168679929609	0.0072892469535649	0.00522751278498906	0.000332702049621604	6.7863128378413e-05	0.0654794520547945	0	0	0.000400565178000017	0.0658800172327945	5	0	39.132	2.46458141674333	0.02679
547657332	28035.1478034271	159.725124162912	88.1766390844796	32.0459276725261	8.10630159140236	6.05505493449011	0.00255283068990827	0.000544360763638937	0.00782839092984641	0.45996	0	0.00309719145354721	0.470885582383394	704	412	33.66	20.4973262032086	0.19165
547657333#0	9087.19759088771	53.0978200518918	27.5476603652766	9.77945758389365	2.18155987836476	1.77116547215129	0.00215704680690482	0	0	0.233232	0	0.00215704680690482	0.235389046806905	281	140	11.556	30.2741433021807	0.09718
547657333#1	2466.36832066968	15.139373714304	7.18677220176511	2.6282353892318	0.519710779053789	0.423743219574016	0.000599517791708594	0	0	0.053952	0	0.000599517791708594	0.0545515177917086	280	140	4.68	17.2923076923077	0.02248
547657333#2	1032.92819903478	6.261576909384	3.16888307695145	1.21650446628422	0.292624763910662	0.209919547130732	0.000172060474276444	0	0	0.03324	0	0.000172060474276444	0.0334120604742764	388	140	39.096	1.27532228360958	0.01385
547657334	6087.48971110605	39.7616548324301	17.8440844482276	7.3942866749499	1.65774901438004	1.14196722799954	0.00102969914284565	0.000193188174426422	0.0118133032057619	0.204864	0.0951302950845796	0.00122288731727207	0.313030485607614	388	140	43.632	7.04290429042904	0.08536
547657335	7273.38884557387	41.0535120651264	22.5441855929055	7.90341128572704	1.89945776344462	1.52543561781577	0.00124636610372309	0.000256776037844603	0.0104003481288077	0.156672	0	0.00150314214156769	0.168575490270375	383	140	17.28	13.6	0.06528
547657336	12587.3957673368	74.824703601408	38.971871139317	14.6962988502589	3.59567431040736	2.60948810355322	0.000823270285495156	0.000170800524619785	0.0049857450803143	0.156672	0	0.000994070810114941	0.162651815890429	985	552	37.656	6.24091778202677	0.06528
547657337	6945.04328094317	40.707544165122	21.6292543481797	8.05571971195248	1.99411812239374	1.46000022841331	0.000453320465572229	9.50352057805787e-05	0.00465336207496002	0.08508	0	0.000548355671352807	0.0902817177463128	985	552	36.504	3.49605522682446	0.03545
547793240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25555
549249237#0	1820.21760962747	10.0391827437408	5.73889784887297	2.01208717487756	0.511798017990852	0.401060413674294	0.000473589206126027	0	0	0.071448	0	0.000473589206126027	0.071921589206126	248	0	24.696	4.33965014577259	0.02977
549249237#1	1093.70451136977	6.57839515545576	3.24459725035523	1.16999041221023	0.243840172218959	0.198706544388635	0.000315546518962371	0	0	0.030576	0	0.000315546518962371	0.0308915465189624	234	0	7.452	6.15458937198068	0.01274
549253232	2168.72325020671	14.4842763186378	6.24904486980673	2.6578639710326	0.58263668417035	0.396751359911533	0.000574654934186109	5.26324409440036e-05	0.00740267004089417	0.114672	0	0.000627287375130113	0.122701957416024	249	42	44.82	3.83775100401606	0.04778
549253233	2574.29643310105	16.4713198976928	7.65499539299095	3.10097395374979	0.709434557662491	0.494037042466898	0.000675381878419476	6.56189846496682e-05	0.00928095945425538	0.133728	0	0.000741000863069144	0.143749960317325	249	42	42.48	4.72203389830508	0.05572
549253234#0	561.330223179592	3.76975807299432	1.61010336859266	0.689454386111265	0.150280779303926	0.102043777140238	0.000150756458941672	0	0	0.030096	0	0.000150756458941672	0.0302467564589417	246	42	45.108	1.00079808459697	0.01254
549253234#1	2218.31621190072	14.9600915120095	6.34063346029148	2.72919401921318	0.592320279353999	0.401334293066983	0.000596392170960969	0	0	0.119088	0	0.000596392170960969	0.119684392170961	246	42	45.324	3.94122319301033	0.04962
549266388	809.128746577838	4.47602278201344	2.54228484886007	0.889455966388876	0.223779965823573	0.176800260064487	8.62199299603068e-05	1.214289847685e-05	0.00400031542898342	0.012384	0	9.83628284371568e-05	0.0164826782574206	608	41	22.608	0.821656050955414	0.00516
549266389	922.010237972994	6.3746379638832	2.57704795530524	1.14564552564477	0.242221494988334	0.162044400893197	0.000253590274535718	2.89186826195194e-05	0.0100503792595947	0.05064	0	0.000282508957155238	0.0609728882167499	242	41	46.584	1.6306027820711	0.0211
549266390	3092.54464621284	21.568398480552	8.57093088946815	3.85599253772044	0.807692686302215	0.537950815177901	0.00085253964236532	9.56483771823647e-05	0.0109504132231405	0.17016	0	0.000948188019547685	0.182058601242688	242	41	47.016	5.42879019908116	0.0709
549266391#0	792.719098276108	4.44992794558752	2.50269340442513	0.897767623904704	0.22924292152303	0.173464735054988	0.000209897404065774	0	0	0.036528	0	0.000209897404065774	0.0367378974040658	242	41	31.608	1.73348519362187	0.01522
549266391#1	968.812543011717	5.7551992352514	2.90229876530767	1.03894607586655	0.223137318284959	0.181626986508353	0.000268901204229421	0	0	0.027288	0	0.000268901204229421	0.0275569012042294	242	41	9.18	4.45882352941176	0.01137
549266392	2349.36395030514	14.0785623300788	7.24749617694899	2.75293345172088	0.668919303266391	0.483107072322752	0.000626225738469818	8.58711660336124e-05	0.0126004754896411	0.119976	0	0.00071209690450343	0.133288572394145	242	41	38.268	4.70272812793979	0.04999
549266393#0	1721.34178592804	10.5297558652159	5.03208916627289	1.83549943543535	0.366326720224949	0.298689690506065	0.000481472739017189	0	0	0.043872	0	0.000481472739017189	0.0443534727390172	243	41	5.148	12.7832167832168	0.01828
549266393#1	769.300765483478	4.2730768863552	2.40945909143879	0.842609393774012	0.209783782594585	0.166620229247197	0.000206646137004475	0	0	0.028608	0	0.000206646137004475	0.0288146461370045	242	41	21.096	2.03412969283276	0.01192
549266394#0	817.899698572734	4.52994145857792	2.56727459515885	0.897979069551238	0.225188710297973	0.178237203484947	0.000219203596161922	0	0	0.031104	0	0.000219203596161922	0.0313232035961619	242	41	22.104	2.11074918566775	0.01296
549266394#1	1737.25258119611	10.2437294228016	5.39731682509251	2.02077024449678	0.497775891633089	0.363064171486087	0.000461924732282185	0	0	0.08724	0	0.000461924732282185	0.0877019247322822	242	41	37.008	3.53599221789883	0.03635
549266395	1285.26430705857	7.08837700725	4.05906167497176	1.42680838655455	0.364761294918959	0.284055040735072	0.000340482411407788	4.8488298473424e-05	0.0100090196741643	0.053064	0	0.000388970709881212	0.0634619903840455	243	41	26.136	3.04545454545454	0.02211
549266396	1370.30759357348	7.85595399613038	4.20628063887386	1.48167361954274	0.344529976324401	0.278383445234884	0.000372947095405923	5.01653029207917e-05	0.0076188060206325	0.043608	0	0.000423112398326715	0.0516499184189592	243	41	14.508	4.50868486352357	0.01817
549266397#0	530.299230912909	3.6584816413608	1.48524553951526	0.658356940638416	0.139516220982172	0.0934383367656508	0.00014517124619059	0	0	0.028992	0	0.00014517124619059	0.0291371712461906	243	41	46.476	0.935708752904725	0.01208
549266397#1	3817.01134487918	25.7775760399293	10.8972048436896	4.69868816925492	1.01828373067457	0.689455676288283	0.00103923234890166	0	0	0.207528	0	0.00103923234890166	0.208567232348902	243	41	45.396	6.85725614591594	0.08647
549266398#0	1315.73626823895	8.79347677339081	3.78909349134252	1.61293495563467	0.353326051923422	0.240514918064126	0.000357304109823004	0	0	0.071304	0	0.000357304109823004	0.071661304109823	243	41	44.856	2.38443017656501	0.02971
549266398#1	252.339183192697	1.71860622760422	0.71511609117418	0.311674147048291	0.066951986788695	0.0451355029996969	6.88496155644325e-05	0	0	0.013752	0	6.88496155644325e-05	0.0138208496155644	243	41	45.828	0.450117831893166	0.00573
